model,sample,session,horizon,direction_cosine,execution_cosine,norm_ratio,full_mse,execution_mse,decoded_mse,endpoint_correct,reencoded_correct,continuity
B1_correct_language,35,10,1,0.9171761274337769,0.9284971356391907,0.9962035417556763,0.4314749538898468,0.5701360106468201,0.0223612729460001,1,0,0.04161390662193298
B1_correct_language,35,10,2,0.9428384900093079,0.962183952331543,0.9136822819709778,0.3371298015117645,0.2862801253795624,0.018008748069405556,1,1,0.13995715975761414
B1_correct_language,35,10,4,0.8459213972091675,0.7640600204467773,0.5507255792617798,1.2882399559020996,1.0230326652526855,0.07417710870504379,0,0,0.12984025478363037
B1_correct_language,38,10,1,0.8539535999298096,0.9018813371658325,0.9932995438575745,0.529179573059082,0.5998781323432922,0.052641112357378006,0,0,0.06810049712657928
B1_correct_language,38,10,2,0.8105849027633667,0.8201547265052795,0.8046560883522034,0.7724192142486572,1.0627447366714478,0.08329328149557114,1,0,0.01574122905731201
B1_correct_language,38,10,4,0.9495322108268738,0.9804168343544006,0.8603984713554382,0.24041813611984253,0.1674104928970337,0.012856964953243732,1,0,0.08350804448127747
B1_correct_language,102,21,1,0.8177773356437683,0.9175174832344055,0.8336520195007324,0.9576601982116699,0.6573998928070068,0.08793941885232925,1,0,0.34684261679649353
B1_correct_language,102,21,2,0.8145225048065186,0.9463644027709961,0.9649158716201782,0.7010844349861145,0.32293277978897095,0.027083193883299828,1,0,0.06367212533950806
B1_correct_language,102,21,4,0.9423533082008362,0.9379838705062866,0.7915220260620117,0.3844526410102844,0.33048927783966064,0.025928616523742676,0,0,0.0380932092666626
B1_correct_language,108,25,1,0.773136556148529,0.8039702773094177,0.971432089805603,0.3094625473022461,0.3183220326900482,0.019066190347075462,1,1,0.11666494607925415
B1_correct_language,108,25,2,0.824678361415863,0.8393012881278992,0.9250982999801636,0.31956905126571655,0.31673166155815125,0.019011221826076508,1,1,0.16973507404327393
B1_correct_language,108,25,4,0.7306172847747803,0.7486403584480286,0.7204838991165161,1.190424919128418,1.1739766597747803,0.04087013378739357,0,0,0.04693061113357544
B1_correct_language,116,25,1,0.3752851188182831,0.6308389902114868,1.1059852838516235,0.7251899242401123,0.43346351385116577,0.00658562732860446,1,1,0.1264687329530716
B1_correct_language,116,25,2,0.25838741660118103,0.6874409914016724,1.3842384815216064,1.805643916130066,0.7935013175010681,0.015118032693862915,0,0,0.15326708555221558
B1_correct_language,116,25,4,0.8539007902145386,0.8565473556518555,0.5787720680236816,0.818034291267395,1.124572515487671,0.07727216929197311,0,0,0.5118554830551147
B1_correct_language,128,29,1,0.7742587327957153,0.7994126677513123,0.8836069107055664,0.4226328134536743,0.4373984634876251,0.060607075691223145,1,1,0.3702470362186432
B1_correct_language,128,29,2,0.7045267820358276,0.7984643578529358,1.2313979864120483,0.9049606919288635,0.7401647567749023,0.03541140630841255,1,1,0.004996657371520996
