model,family,H2_full_mse,H4_decoded_mse,endpoint_accuracy,decode_reencode_accuracy,continuity,RedirectGain,Execution_RedirectGain,parameters,eligible,pareto_dominated
B0_unconditional,historical,0.7575621008872986,0.045861970633268356,0.17033945820287943,0.15427841634738185,0.1998794823884964,0.0,0.0,0,False,False
B1_correct_language,historical,0.6943433880805969,0.041534315794706345,0.4258137575243728,0.3729299986568411,0.17743369936943054,0.36498939990997314,0.2523128390312195,0,False,False
B2_shuffled_language,historical,0.7691538333892822,0.04623545706272125,0.16921253814424878,0.191632803127056,0.19823215901851654,0.001238713157363236,-0.012387554161250591,0,False,False
B3_null_language,historical,0.7947245240211487,0.04694985970854759,0.16799681674597158,0.1140705324275304,0.20043618977069855,0.0,0.0,0,False,False
D1_1NN,deterministic_local,1.6696479320526123,0.07493133097887039,0.48359202963665443,0.5102966462330899,0.21654905378818512,1.1306270360946655,0.7886983752250671,0,False,False
D2_Wave24,deterministic_local,1.2081164121627808,0.05414802208542824,0.4557078235915288,0.4105819617990003,0.20329692959785461,0.9020252823829651,0.7257784008979797,0,False,False
D3_local_ridge_a0.001,deterministic_local,1.623362421989441,0.06685452163219452,0.5653700142543956,0.5101051891788876,0.20101085305213928,2.1706669330596924,1.4730421304702759,0,False,False
D3_local_ridge_a0.01,deterministic_local,1.6207531690597534,0.06678270548582077,0.5653700142543956,0.5101051891788876,0.20090177655220032,2.1681442260742188,1.4712436199188232,0,False,False
D3_local_ridge_a0.1,deterministic_local,1.595916986465454,0.06610355526208878,0.5653700142543956,0.5339147129884113,0.20000305771827698,2.1436736583709717,1.4538344144821167,0,False,False
D3_local_ridge_a1,deterministic_local,1.4263081550598145,0.061616335064172745,0.5840568829412643,0.4994590451994103,0.19617986679077148,1.9542440176010132,1.3203727006912231,0,False,False
D4_weighted_affine_a0.001,deterministic_local,1.6226272583007812,0.06684143841266632,0.5653700142543956,0.5101051891788876,0.20094910264015198,2.171110153198242,1.4733749628067017,0,False,False
D4_weighted_affine_a0.01,deterministic_local,1.6145225763320923,0.06665351986885071,0.5709255698099511,0.5101051891788876,0.20033051073551178,2.1699411869049072,1.4723830223083496,0,False,False
D4_weighted_affine_a0.1,deterministic_local,1.5536270141601562,0.06490391492843628,0.5766726962467327,0.5394702685439671,0.19786205887794495,2.120438575744629,1.4343059062957764,0,False,False
D4_weighted_affine_a1,deterministic_local,1.2764829397201538,0.05741472169756889,0.5899803762210794,0.5171261375791464,0.19146454334259033,1.7762582302093506,1.1929227113723755,0,False,False
D5_global_factored_MLP,deterministic_local,0.9590760469436646,0.05531175434589386,0.25298230054822346,0.25297486926966306,0.2069094330072403,0.27525028586387634,0.1314011961221695,36129,False,False
F2_A_learned_direction_mean_magnitude,direction_magnitude,1.1126739978790283,0.05618714541196823,0.40806989694751694,0.37409360353917487,0.20192284882068634,0.7512122988700867,0.44011980295181274,36129,False,False
F2_B_D2_direction_learned_magnitude,direction_magnitude,1.4056661128997803,0.05435346066951752,0.6704391218928069,0.6230862831606577,0.20521563291549683,1.5716792345046997,1.129909873008728,36129,False,False
F2_C_separate_heads,direction_magnitude,0.9576658606529236,0.05048944801092148,0.2966601850307056,0.2618088870286301,0.20113644003868103,0.4258415102958679,0.2669726014137268,36129,False,False
F2_D_semantic_execution_heads,direction_magnitude,1.046432614326477,0.05293761566281319,0.4007817152171445,0.3944254353314529,0.2146926373243332,0.40688440203666687,0.3315134644508362,36258,False,False
Latent_CFM_16step_mean8,flow,0.8729429841041565,0.048215970396995544,0.4801661126542804,0.44858064205596326,0.21279822289943695,0.5259133577346802,0.3358107805252075,40224,False,False
Latent_CFM_8step_mean8,flow,0.8615237474441528,0.04787074401974678,0.4403973896536439,0.3948651653857875,0.20924212038516998,0.4791109263896942,0.29457443952560425,40224,False,False
Latent_Diff_16step_mean8,diffusion,2.2019131183624268,0.08338513970375061,0.15195263755101482,0.15558371961346942,0.20762327313423157,0.01747215911746025,0.008562664501369,40224,False,False
