sample,session,goal,horizon,target_distance,margin,region_rank,semantic_rank,semantic_top1,semantic_cosine_margin
0,0,lift_red_block_table,0,3.6910464763641357,0.06947112083435059,1,1,1,0.06611067056655884
0,0,lift_red_block_table,1,2.748342514038086,0.38439059257507324,1,1,1,0.08393490314483643
0,0,lift_red_block_table,2,3.0442028045654297,0.10077762603759766,1,1,1,0.051441460847854614
0,0,lift_red_block_table,4,3.872929334640503,-0.4254894256591797,4,3,0,-0.007332265377044678
1,0,place_in_slider,0,4.027568817138672,-0.6647391319274902,5,6,0,-0.3876994252204895
1,0,place_in_slider,1,3.5484225749969482,-0.21737289428710938,2,2,0,-0.03094218671321869
1,0,place_in_slider,2,4.124487400054932,-0.1711266040802002,3,2,0,-0.07710157334804535
1,0,place_in_slider,4,4.8275299072265625,-0.7555441856384277,6,5,0,-0.27495789527893066
2,0,turn_on_lightbulb,0,5.859991073608398,0.06419610977172852,1,2,0,-0.04412086308002472
2,0,turn_on_lightbulb,1,3.8827743530273438,-0.1241767406463623,2,1,1,0.005124866962432861
2,0,turn_on_lightbulb,2,3.6377792358398438,-0.16362905502319336,3,2,0,-6.875395774841309e-05
2,0,turn_on_lightbulb,4,3.5826492309570312,0.09128904342651367,1,2,0,-0.029964715242385864
3,0,turn_off_lightbulb,0,4.6185994148254395,-0.907785177230835,3,3,0,-0.27336937189102173
3,0,turn_off_lightbulb,1,3.965716600418091,-0.040441274642944336,2,2,0,-0.012504756450653076
3,0,turn_off_lightbulb,2,2.869893789291382,0.668140172958374,1,2,0,-0.02094167470932007
3,0,turn_off_lightbulb,4,2.026664972305298,0.8776135444641113,1,1,1,0.04096844792366028
4,0,push_pink_block_right,0,6.77205753326416,-1.800675868988037,6,4,0,-0.14263248443603516
4,0,push_pink_block_right,1,5.634613990783691,-1.0006403923034668,6,5,0,-0.12539994716644287
4,0,push_pink_block_right,2,4.689301013946533,-0.7921197414398193,4,5,0,-0.20694251358509064
