previous_action,next_action,train,development,test,distinct_sessions
lift_blue_block_slider,lift_red_block_table,12,3,7,12
lift_blue_block_slider,place_in_slider,8,6,7,14
lift_blue_block_slider,push_pink_block_right,6,2,1,9
lift_blue_block_slider,turn_off_lightbulb,9,4,5,13
lift_blue_block_slider,turn_on_lightbulb,8,3,8,15
lift_red_block_table,lift_blue_block_slider,6,6,4,11
lift_red_block_table,place_in_slider,12,9,13,21
lift_red_block_table,push_pink_block_right,5,1,0,6
lift_red_block_table,turn_off_lightbulb,9,3,2,11
lift_red_block_table,turn_on_lightbulb,10,5,6,15
place_in_slider,lift_blue_block_slider,11,1,9,14
place_in_slider,lift_red_block_table,3,5,6,11
place_in_slider,push_pink_block_right,5,3,6,12
place_in_slider,turn_off_lightbulb,14,8,11,19
place_in_slider,turn_on_lightbulb,13,11,5,16
push_pink_block_right,lift_blue_block_slider,5,1,2,8
push_pink_block_right,lift_red_block_table,4,2,2,8
push_pink_block_right,place_in_slider,12,5,4,18
push_pink_block_right,turn_off_lightbulb,4,3,1,8
push_pink_block_right,turn_on_lightbulb,7,3,6,13
turn_off_lightbulb,lift_blue_block_slider,6,4,6,11
turn_off_lightbulb,lift_red_block_table,15,5,6,18
turn_off_lightbulb,place_in_slider,7,6,4,14
turn_off_lightbulb,push_pink_block_right,6,5,4,11
turn_off_lightbulb,turn_on_lightbulb,10,7,6,17
turn_on_lightbulb,lift_blue_block_slider,11,5,5,16
turn_on_lightbulb,lift_red_block_table,7,7,6,15
turn_on_lightbulb,place_in_slider,7,4,9,13
turn_on_lightbulb,push_pink_block_right,10,3,3,13
turn_on_lightbulb,turn_off_lightbulb,15,9,10,20
