metric,B0_unconditional,B1_correct_language,B2_shuffled_language,B3_null_language,language_prototype
H1_execution_mse,0.758988618850708,0.7145657539367676,0.772209107875824,0.765752375125885,0.8823480606079102
H1_full_mse,0.7786576747894287,0.7096729874610901,0.7820026278495789,0.7781297564506531,0.9608775973320007
H1_semantic_mse,0.7983266115188599,0.7047800421714783,0.7917960286140442,0.7905071377754211,1.0394070148468018
H2_execution_mse,0.8610657453536987,0.7457980513572693,0.8727206587791443,0.8869081735610962,0.7947996258735657
H2_full_mse,0.7961665987968445,0.6918107271194458,0.8134406208992004,0.8146989345550537,0.6790066957473755
H2_semantic_mse,0.7312672138214111,0.6378234028816223,0.7541606426239014,0.7424898743629456,0.5632138848304749
H4_decoded_continuous_mse,0.044233210384845734,0.038512639701366425,0.04559887945652008,0.04712840914726257,0.0501737967133522
H4_execution_mse,0.931753933429718,0.8287502527236938,0.9488072991371155,0.960601270198822,1.2539441585540771
H4_full_mse,0.90814208984375,0.8036036491394043,0.9297769069671631,0.9415830969810486,1.1141045093536377
H4_semantic_mse,0.884530246257782,0.7784571051597595,0.9107465147972107,0.9225649833679199,0.9742648601531982
execution_knn_radius,2.7375476360321045,2.5597877502441406,2.7391750812530518,2.7331459522247314,2.089618682861328
target_distance,4.017770767211914,3.7333779335021973,3.9585936069488525,3.87557315826416,3.215409517288208
target_margin,-0.46240368485450745,-0.08076000213623047,-0.45028966665267944,-0.493882954120636,0.10034133493900299
