boundary_id,source_session,session_row,boundary_frame,previous_annotation_id,next_annotation_id,previous_label,next_label,frames_available_before,frames_available_after,annotation_gap_frames,annotation_relation,reset_or_discontinuity,source_frame_contiguous,h4_supported,split
session_000_frame_0498271,training_ep_row_00000,0,498271,4032,429,turn_on_lightbulb,lift_red_block_table,968,18773,208,gap,False,True,True,test
session_000_frame_0499197,training_ep_row_00000,0,499197,429,4138,lift_red_block_table,place_in_slider,1894,17847,861,gap,False,True,True,test
session_000_frame_0499359,training_ep_row_00000,0,499359,1945,1947,place_in_slider,turn_on_lightbulb,2056,17685,111,gap,False,True,True,test
session_000_frame_0499949,training_ep_row_00000,0,499949,1947,3485,turn_on_lightbulb,turn_off_lightbulb,2646,17095,525,gap,False,True,True,test
session_000_frame_0500224,training_ep_row_00000,0,500224,3485,1241,turn_off_lightbulb,push_pink_block_right,2921,16820,210,gap,False,True,True,test
session_000_frame_0500343,training_ep_row_00000,0,500343,1241,67,push_pink_block_right,lift_blue_block_slider,3040,16701,54,gap,False,True,True,test
session_000_frame_0501414,training_ep_row_00000,0,501414,67,1496,lift_blue_block_slider,place_in_slider,4111,15630,1006,gap,False,True,True,test
session_000_frame_0501505,training_ep_row_00000,0,501505,1496,1428,place_in_slider,lift_red_block_table,4202,15539,42,gap,False,True,True,test
session_000_frame_0502044,training_ep_row_00000,0,502044,1428,1172,lift_red_block_table,lift_blue_block_slider,4741,15000,474,gap,False,True,True,test
session_000_frame_0502344,training_ep_row_00000,0,502344,4988,3370,lift_blue_block_slider,turn_on_lightbulb,5041,14700,225,gap,False,True,True,test
session_000_frame_0502962,training_ep_row_00000,0,502962,3370,4045,turn_on_lightbulb,turn_off_lightbulb,5659,14082,553,gap,False,True,True,test
session_000_frame_0503598,training_ep_row_00000,0,503598,3313,2872,turn_off_lightbulb,lift_red_block_table,6295,13446,561,gap,False,True,True,test
session_000_frame_0504556,training_ep_row_00000,0,504556,3493,851,lift_red_block_table,lift_blue_block_slider,7253,12488,430,gap,False,True,True,test
session_000_frame_0505256,training_ep_row_00000,0,505256,851,4561,lift_blue_block_slider,turn_off_lightbulb,7953,11788,635,gap,False,True,True,test
session_000_frame_0506330,training_ep_row_00000,0,506330,4561,1737,turn_off_lightbulb,lift_blue_block_slider,9027,10714,1009,gap,False,True,True,test
session_000_frame_0506418,training_ep_row_00000,0,506418,3952,4633,lift_blue_block_slider,turn_on_lightbulb,9115,10626,22,gap,False,True,True,test
session_000_frame_0507030,training_ep_row_00000,0,507030,1485,3280,turn_on_lightbulb,push_pink_block_right,9727,10014,538,gap,False,True,True,test
session_000_frame_0508952,training_ep_row_00000,0,508952,1856,76,push_pink_block_right,turn_off_lightbulb,11649,8092,1847,gap,False,True,True,test
session_000_frame_0509634,training_ep_row_00000,0,509634,76,877,turn_off_lightbulb,turn_on_lightbulb,12331,7410,617,gap,False,True,True,test
session_000_frame_0510152,training_ep_row_00000,0,510152,877,4256,turn_on_lightbulb,lift_blue_block_slider,12849,6892,453,gap,False,True,True,test
session_000_frame_0510281,training_ep_row_00000,0,510281,4256,207,lift_blue_block_slider,turn_off_lightbulb,12978,6763,64,gap,False,True,True,test
session_000_frame_0513074,training_ep_row_00000,0,513074,1596,942,turn_off_lightbulb,turn_on_lightbulb,15771,3970,883,gap,False,True,True,test
session_000_frame_0513382,training_ep_row_00000,0,513382,942,2258,turn_on_lightbulb,turn_off_lightbulb,16079,3662,243,gap,False,True,True,test
session_000_frame_0513865,training_ep_row_00000,0,513865,2258,3090,turn_off_lightbulb,push_pink_block_right,16562,3179,418,gap,False,True,True,test
session_000_frame_0514813,training_ep_row_00000,0,514813,3090,796,push_pink_block_right,lift_red_block_table,17510,2231,902,gap,False,True,True,test
session_001_frame_0382780,training_ep_row_00001,1,382780,111,2647,place_in_slider,lift_red_block_table,883,17166,383,gap,False,True,True,train
session_001_frame_0383068,training_ep_row_00001,1,383068,738,2157,lift_red_block_table,turn_off_lightbulb,1171,16878,219,gap,False,True,True,train
session_001_frame_0383539,training_ep_row_00001,1,383539,2157,2725,turn_off_lightbulb,turn_on_lightbulb,1642,16407,406,gap,False,True,True,train
session_001_frame_0385640,training_ep_row_00001,1,385640,2725,1352,turn_on_lightbulb,lift_blue_block_slider,3743,14306,2036,gap,False,True,True,train
session_001_frame_0386779,training_ep_row_00001,1,386779,2002,941,lift_blue_block_slider,turn_on_lightbulb,4882,13167,85,gap,False,True,True,train
session_001_frame_0387750,training_ep_row_00001,1,387750,941,4828,turn_on_lightbulb,lift_blue_block_slider,5853,12196,906,gap,False,True,True,train
session_001_frame_0388651,training_ep_row_00001,1,388651,4828,3947,lift_blue_block_slider,turn_off_lightbulb,6754,11295,836,gap,False,True,True,train
session_001_frame_0388998,training_ep_row_00001,1,388998,3947,1430,turn_off_lightbulb,place_in_slider,7101,10948,282,gap,False,True,True,train
session_001_frame_0390148,training_ep_row_00001,1,390148,1430,3261,place_in_slider,turn_on_lightbulb,8251,9798,1112,gap,False,True,True,train
session_001_frame_0390589,training_ep_row_00001,1,390589,1930,3205,turn_on_lightbulb,lift_blue_block_slider,8692,9357,368,gap,False,True,True,train
session_001_frame_0390692,training_ep_row_00001,1,390692,3205,3408,lift_blue_block_slider,turn_off_lightbulb,8795,9254,38,gap,False,True,True,train
