goal,horizon,train,development,test_metadata,adequate
lift_blue_block_slider,1,39,17,26,True
lift_blue_block_slider,2,39,17,26,True
lift_blue_block_slider,4,39,17,26,True
lift_red_block_table,1,41,22,27,True
lift_red_block_table,2,41,22,27,True
lift_red_block_table,4,41,22,27,True
place_in_slider,1,46,30,37,True
place_in_slider,2,46,30,37,True
place_in_slider,4,46,30,37,True
push_pink_block_right,1,32,14,14,True
push_pink_block_right,2,32,14,14,True
push_pink_block_right,4,32,14,14,True
turn_off_lightbulb,1,51,27,29,True
turn_off_lightbulb,2,51,27,29,True
turn_off_lightbulb,4,51,27,29,True
turn_on_lightbulb,1,48,29,31,True
turn_on_lightbulb,2,48,29,31,True
turn_on_lightbulb,4,48,29,31,True
