kind,sample,session,source_goal,target_goal,horizon,cycle_full,cycle_semantic,cycle_execution,ground_truth_cycle_full,target_distance,execution_target_distance,target_rank,endpoint_error,decoded_action_mse,future_latent_mse,execution_knn_radius,local_pca_normal_distance,trajectory_jump
observed,0,0,lift_red_block_table,lift_red_block_table,0,0.376039981842041,0.3266582489013672,0.18628057837486267,0.376039981842041,3.6910464763641357,2.6206088066101074,1,0,0.0,0.0,2.6206088066101074,0.9770225286483765,0.0
observed,1,0,place_in_slider,place_in_slider,0,0.6496178507804871,0.554781973361969,0.3379649221897125,0.6496178507804871,4.027568817138672,2.558820962905884,5,1,0.0,0.0,2.558820962905884,0.8588526844978333,0.0
observed,2,0,turn_on_lightbulb,turn_on_lightbulb,0,1.3386703729629517,1.0930248498916626,0.7728745937347412,1.3386703729629517,5.859991073608398,3.464900255203247,1,0,0.0,0.0,3.464900255203247,1.8146016597747803,0.0
observed,3,0,turn_off_lightbulb,turn_off_lightbulb,0,0.40868040919303894,0.33055517077445984,0.2403184175491333,0.40868040919303894,4.6185994148254395,3.4281153678894043,3,1,0.0,0.0,3.4281153678894043,1.0711259841918945,0.0
observed,4,0,push_pink_block_right,push_pink_block_right,0,1.9162992238998413,1.5999103784561157,1.0547460317611694,1.9162992238998413,6.77205753326416,3.9832561016082764,6,1,0.0,0.0,3.9832561016082764,1.588078498840332,0.0
observed,5,0,lift_blue_block_slider,lift_blue_block_slider,0,0.5161883234977722,0.37053975462913513,0.3593754172325134,0.5161883234977722,3.554631471633911,2.611196517944336,5,1,0.0,0.0,2.611196517944336,1.2448194026947021,0.0
observed,6,0,place_in_slider,place_in_slider,0,1.1298431158065796,1.022700309753418,0.4802390933036804,1.1298431158065796,4.315985202789307,3.1813597679138184,5,1,0.0,0.0,3.1813597679138184,1.0139354467391968,0.0
observed,7,0,lift_red_block_table,lift_red_block_table,0,0.6404383182525635,0.5696962475776672,0.2925875782966614,0.6404383182525635,3.6585307121276855,2.4452157020568848,1,0,0.0,0.0,2.4452157020568848,1.500095009803772,0.0
observed,8,0,lift_blue_block_slider,lift_blue_block_slider,0,0.2285352349281311,0.19577379524707794,0.11790242046117783,0.2285352349281311,4.526098728179932,3.595646381378174,4,1,0.0,0.0,3.595646381378174,0.4038662016391754,0.0
observed,9,0,turn_on_lightbulb,turn_on_lightbulb,0,1.0797094106674194,0.9252262711524963,0.556532621383667,1.0797094106674194,5.218865871429443,3.146151065826416,1,0,0.0,0.0,3.146151065826416,1.2940541505813599,0.0
