model,H2_full,H4_decoded,neg_endpoint,neg_recode,continuity,neg_redirect,neg_exec_redirect,runtime
Control_PH1_Phys-F2C,1.1410216093063354,0.053595613688230515,-0.4149027987263281,-0.39396681749622925,0.19016943871974945,-0.46040019392967224,-0.22645507752895355,0.005978633998893201
Control_PH1_RAT-C,1.1731595993041992,0.0560559444129467,-0.5158496732026144,-0.48458605664488014,0.2066328078508377,-0.8875632286071777,-0.5968748331069946,0.03126174700446427
Core_L0_PH0_RAT-C,1.4160076379776,0.056905318051576614,-0.5381263616557734,-0.4295332662979722,0.1955750584602356,-0.7149398922920227,-0.45665013790130615,0.04615650400228333
Core_LN100_PH0_Phys-F2C,1.0324891805648804,0.04708113521337509,-0.45716859393329984,-0.4021367521367521,0.21134912967681885,-0.5478947758674622,-0.2821792960166931,0.006665339999017306
Core_LN100_PH0_RAT-C,1.062381625175476,0.05005739629268646,-0.5025599128540306,-0.431644880174292,0.20446456968784332,-0.8963485956192017,-0.6373088359832764,0.045909310996648856
Core_LN100_PH0_TC-CFM,1.1340456008911133,0.05081961676478386,-0.4808823529411765,-0.36972934472934466,0.17801597714424133,-0.43230897188186646,-0.255058616399765,0.039595512993400916
Core_LN25_PH0_RAT-C,1.2735642194747925,0.05153834819793701,-0.505718954248366,-0.5122004357298475,0.2022276222705841,-0.8029812574386597,-0.549167811870575,0.046737821990973316
Core_LN25_PH0_TC-CFM,1.2934150695800781,0.057214703410863876,-0.4277023629964807,-0.33352187028657615,0.19325754046440125,-0.24926437437534332,-0.07197601348161697,0.029731139991781674
Core_LN50_PH0_Phys-F2C,1.098339557647705,0.04974765703082085,-0.4858722976370035,-0.40944779621250205,0.2153693288564682,-0.4602828323841095,-0.255298912525177,0.006017138002789579
Core_LN50_PH0_RAT-C,1.1726497411727905,0.050735484808683395,-0.5029411764705882,-0.4751633986928105,0.21195536851882935,-0.8405503630638123,-0.5758494734764099,0.04718926499481313
Core_LN50_PH0_TC-CFM,1.1727218627929688,0.0507759265601635,-0.48404139433551197,-0.3586182336182336,0.1858581006526947,-0.3557155132293701,-0.17759601771831512,0.03876952300197445
Core_NEW-only_PH0_Phys-F2C,1.1558253765106201,0.054620638489723206,-0.43451064186358307,-0.39916205798558746,0.21097435057163239,-0.5043362379074097,-0.2864174544811249,0.005688279998139478
Core_NEW-only_PH0_RAT-C,1.1669143438339233,0.05700596421957016,-0.5249455337690633,-0.5066448801742919,0.20042885839939117,-0.9042669534683228,-0.6315643191337585,0.03960210100922268
Core_NEW-only_PH0_TC-CFM,1.2477898597717285,0.05722278356552124,-0.3655228758169935,-0.3621040723981901,0.18394945561885834,-0.4072478711605072,-0.2113983929157257,0.03446418500971049
Core_NEW-only_PH1_RIF,1.6979862451553345,0.07636097818613052,-0.5197712418300654,-0.3905019272666332,0.23796969652175903,-1.0145878791809082,-0.6997764706611633,0.04491122599574737
Core_NEW-only_PH1_TC-CFM,1.2500377893447876,0.05784720927476883,-0.41751717781129544,-0.3324744427685604,0.1889609843492508,-0.403904527425766,-0.21688711643218994,0.02792045100068208
Flow_PH1_MultiCandidate-CFM,1.8990157842636108,0.08105497062206268,-0.4608722976370036,-0.39543740573152336,0.23461341857910156,-1.030523419380188,-0.6984052658081055,0.05545166600495577
Flow_PH1_RIF-A_random,1.178220272064209,0.057966671884059906,-0.46915116473940005,-0.451395173453997,0.19486653804779053,-0.42421603202819824,-0.23642197251319885,0.024840411002514884
Flow_PH1_RIF-C_initialize,1.6791844367980957,0.07628744840621948,-0.4868191721132898,-0.4182797050444109,0.23936882615089417,-1.0132567882537842,-0.7079355120658875,0.06105846900027245
Flow_PH1_Temporal-CFM,1.179427981376648,0.05808054283261299,-0.46915116473940005,-0.451395173453997,0.19483307003974915,-0.42282530665397644,-0.23761792480945587,0.03340441100590397
Objective_PH1_decoded,1.1431927680969238,0.05372321605682373,-0.4149027987263281,-0.40678733031674214,0.19182813167572021,-0.45042887330055237,-0.2207551896572113,0.007772213997668587
Physical_PH0_F2-C,1.1699858903884888,0.05574725568294525,-0.35695072900955255,-0.34004524886877824,0.2003902792930603,-0.4287205934524536,-0.22590483725070953,0.005683932002284564
Physical_PH0_RIF-C,1.7003148794174194,0.0757623240351677,-0.49221132897603487,-0.36248533601474775,0.24641567468643188,-1.0144658088684082,-0.6934722661972046,0.04675310300081037
Physical_PH1_RIF-C,1.6912238597869873,0.07558798789978027,-0.5053376906318083,-0.42808362661303834,0.23923338949680328,-1.023733139038086,-0.707980751991272,0.04733917900011875
Physical_PH2_Prior-CFM,1.2692378759384155,0.057630643248558044,-0.4167337020278197,-0.28907742584213175,0.20992222428321838,-0.3919626772403717,-0.17218324542045593,0.004430828004842624
Physical_PH2_RIF-C,1.7000986337661743,0.07479628175497055,-0.5031045751633988,-0.41141695994637173,0.23807373642921448,-0.9736013412475586,-0.6626732349395752,0.05641884700162336
Physical_PH3_RIF-C,1.7010629177093506,0.07454866170883179,-0.48921568627450984,-0.41141695994637173,0.2383345663547516,-0.9682931900024414,-0.6514987945556641,0.049126583006000146
Physical_PH4_F2-C,1.170574426651001,0.05595392361283302,-0.4089659795542149,-0.27228925758337524,0.1896294802427292,-0.323822557926178,-0.11547456681728363,0.009198898987961002
Physical_PH4_RIF-C,1.6623159646987915,0.07391619682312012,-0.5429193899782135,-0.4088025808614044,0.2600157558917999,-1.023702621459961,-0.7214206457138062,0.05248205798852723
Physical_PH5_RIF-C,1.7009239196777344,0.07206715643405914,-0.5251633986928105,-0.3346866096866097,0.2387976199388504,-1.008156180381775,-0.6906113028526306,0.06206155300606042
Scale_LN100_F2-C,1.0336624383926392,0.0485667809844017,-0.4340204457851517,-0.3493589743589744,0.21228179335594177,-0.47496163845062256,-0.242820605635643,0.006217393995029852
Scale_LN100_Prior-CFM,1.0763800144195557,0.04752490669488907,-0.45147058823529407,-0.440359477124183,0.19833870232105255,-0.5131410956382751,-0.3269199728965759,0.0062106499972287565
Scale_LN100_RIF-C,1.5494811534881592,0.07274949550628662,-0.4029411764705882,-0.35731104407574993,0.22769421339035034,-0.8721676468849182,-0.6631149053573608,0.044382015010342
Scale_LN50_F2-C,1.1056147813796997,0.05068322271108627,-0.4431372549019608,-0.37713675213675213,0.21226413547992706,-0.3964230716228485,-0.2230439931154251,0.003987029995187186
Scale_NEW-only_Prior-CFM,1.2661365270614624,0.05790899693965912,-0.403389475448299,-0.38084045584045584,0.1923384666442871,-0.48012393712997437,-0.24621805548667908,0.005462490007630549
