model,family,data_regime,physical,H2_full,H4_decoded,H4_endpoint,H4_recode,H4_continuity,RedirectGain,Execution_RedirectGain,pareto,selected
Control_PH1_Phys-F2C,control,NEW-only,PH1,1.1410216093063354,0.053595613688230515,0.4149027987263281,0.39396681749622925,0.19016943871974945,0.46040019392967224,0.22645507752895355,True,False
Control_PH1_Phys-MLP,control,NEW-only,PH1,1.1525650024414062,0.054410506039857864,0.40232109937992294,0.3476705211999329,0.19686464965343475,0.3833971619606018,0.15708988904953003,False,False
Control_PH1_Phys-MoE,control,NEW-only,PH1,1.529941439628601,0.0736234188079834,0.3297427518015753,0.23050527903469079,0.22374454140663147,0.285520076751709,0.13008542358875275,False,False
Control_PH1_RAT-C,control,NEW-only,PH1,1.1731595993041992,0.0560559444129467,0.5158496732026144,0.48458605664488014,0.2066328078508377,0.8875632286071777,0.5968748331069946,True,False
Core_L0_PH0_Phys-F2C,factorial_core,L0,PH0,1.3440498113632202,0.05914768576622009,0.3557440925087984,0.30284900284900285,0.2166336476802826,0.26159900426864624,0.16202829778194427,False,False
Core_L0_PH0_RAT-C,factorial_core,L0,PH0,1.4160076379776,0.056905318051576614,0.5381263616557734,0.4295332662979722,0.1955750584602356,0.7149398922920227,0.45665013790130615,True,False
Core_L0_PH0_TC-CFM,factorial_core,L0,PH0,1.6699594259262085,0.06983073055744171,0.2686106921401039,0.2548642533936652,0.22599151730537415,0.12331999093294144,0.05904838815331459,False,False
Core_LN100_PH0_Phys-F2C,factorial_core,LN100,PH0,1.0324891805648804,0.04708113521337509,0.45716859393329984,0.4021367521367521,0.21134912967681885,0.5478947758674622,0.2821792960166931,True,True
Core_LN100_PH0_RAT-C,factorial_core,LN100,PH0,1.062381625175476,0.05005739629268646,0.5025599128540306,0.431644880174292,0.20446456968784332,0.8963485956192017,0.6373088359832764,True,True
Core_LN100_PH0_TC-CFM,factorial_core,LN100,PH0,1.1340456008911133,0.05081961676478386,0.4808823529411765,0.36972934472934466,0.17801597714424133,0.43230897188186646,0.255058616399765,True,False
Core_LN25_PH0_Phys-F2C,factorial_core,LN25,PH0,1.1786576509475708,0.050779376178979874,0.4386710239651416,0.3874643874643875,0.21073485910892487,0.4113052189350128,0.22760318219661713,False,False
Core_LN25_PH0_RAT-C,factorial_core,LN25,PH0,1.2735642194747925,0.05153834819793701,0.505718954248366,0.5122004357298475,0.2022276222705841,0.8029812574386597,0.549167811870575,True,False
Core_LN25_PH0_TC-CFM,factorial_core,LN25,PH0,1.2934150695800781,0.057214703410863876,0.4277023629964807,0.33352187028657615,0.19325754046440125,0.24926437437534332,0.07197601348161697,True,False
