model,family,PRED,DECODE,IDENTITY,CYCLE-ID,CONT,LANG
B1_correct_language,historical,strongly improved,strongly improved,worse,worse,strongly improved,strongly worse
CausalSelect_Flow_S0_Prior-CFM,causal_sample_selection,improved,strongly worse,strongly worse,strongly worse,worse,strongly worse
Control_S0_D4,nonflow_control,strongly worse,strongly worse,strongly improved,strongly improved,improved,strongly improved
Control_S0_F2-C,nonflow_control,strongly improved,worse,strongly worse,strongly worse,worse,strongly worse
Control_S0_VQ16,nonflow_control,neutral,strongly worse,strongly worse,strongly worse,worse,strongly worse
Control_S0_VQ8,nonflow_control,improved,worse,strongly worse,strongly worse,neutral,strongly worse
Control_S0_compact-MoE,nonflow_control,improved,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
D2_Wave24,historical,neutral,neutral,neutral,neutral,neutral,neutral
Flow_S0_Hetero-CFM,flow_family,strongly improved,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
Flow_S0_History-CFM,flow_family,strongly improved,worse,strongly worse,strongly worse,worse,strongly worse
Flow_S0_MP-CFM,flow_family,improved,strongly worse,strongly worse,strongly worse,worse,strongly worse
Flow_S0_Phase-CFM,flow_family,strongly improved,worse,strongly worse,strongly worse,worse,strongly worse
Flow_S0_Phase-CFM_16step,flow_steps,strongly improved,neutral,strongly worse,strongly worse,worse,strongly worse
Flow_S0_Prior-CFM,flow_family,strongly improved,improved,strongly worse,strongly worse,neutral,strongly worse
Flow_S0_Prior-CFM_16step,flow_steps,strongly improved,improved,strongly worse,strongly worse,worse,strongly worse
Flow_S0_R-CFM,flow_family,strongly improved,improved,strongly improved,strongly improved,improved,strongly worse
Flow_S0_R-CFM_16step,flow_steps,strongly improved,improved,improved,neutral,improved,strongly worse
Flow_S0_Streaming-CFM,flow_family,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
Flow_S0_TC-CFM,flow_family,improved,worse,strongly worse,strongly worse,neutral,strongly worse
Flow_S1_Hetero-CFM,flow_family,improved,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
Flow_S1_History-CFM,flow_family,strongly improved,worse,strongly worse,strongly worse,neutral,strongly worse
Flow_S1_MP-CFM,flow_family,neutral,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
Flow_S1_Phase-CFM,flow_family,strongly improved,worse,strongly worse,strongly worse,neutral,strongly worse
Flow_S1_Phase-CFM_16step,flow_steps,strongly improved,worse,strongly worse,strongly worse,worse,strongly worse
Flow_S1_Prior-CFM,flow_family,strongly improved,neutral,strongly worse,strongly worse,neutral,strongly worse
Flow_S1_Prior-CFM_16step,flow_steps,strongly improved,neutral,strongly worse,strongly worse,worse,strongly worse
Flow_S1_R-CFM,flow_family,strongly improved,improved,improved,strongly improved,neutral,strongly worse
Flow_S1_R-CFM_16step,flow_steps,strongly improved,improved,neutral,strongly improved,neutral,strongly worse
Flow_S1_Streaming-CFM,flow_family,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse,strongly worse
Flow_S1_TC-CFM,flow_family,improved,strongly worse,strongly worse,strongly worse,neutral,strongly worse
Flow_S4_Hetero-CFM,flow_family,worse,strongly worse,strongly worse,strongly worse,worse,strongly worse
Flow_S4_History-CFM,flow_family,strongly improved,strongly worse,strongly worse,strongly worse,neutral,strongly worse
