sample,session,boundary_frame,model,goal_core_distance,goal_core_margin,execution_goal_core_distance,decoded_action_MSE,cycle_residual
35,10,439703,Wave21_B1,5.761731147766113,-1.9345941543579102,4.1331353187561035,0.07417710870504379,2.967172384262085
35,10,439703,GA_lambda_0.03,5.710450172424316,-1.9034547805786133,4.078762054443359,0.07413680106401443,2.876635789871216
35,10,439703,GA_lambda_0.1,5.588204383850098,-1.8550820350646973,3.9546265602111816,0.0759400799870491,2.679774761199951
35,10,439703,GA_lambda_0.3,5.326578140258789,-1.710554838180542,3.7213451862335205,0.07515255361795425,2.301574468612671
35,10,439703,Wave22_cycle4,5.436062335968018,-2.789170742034912,3.3022353649139404,0.08118938654661179,0.18307261168956757
35,10,439703,language_prototype,3.352250576019287,0.018711566925048828,1.6656208038330078,0.16294892132282257,2.840304136276245
35,10,439703,goal_core_retrieval,5.09022331237793,-1.0044293403625488,3.4240200519561768,0.11413190513849258,0.4549017548561096
38,10,440294,Wave21_B1,4.105045318603516,-0.07165050506591797,3.003546714782715,0.012856966815888882,2.516528844833374
38,10,440294,GA_lambda_0.03,4.121546745300293,-0.11076498031616211,3.003554582595825,0.01299095805734396,2.50970721244812
38,10,440294,GA_lambda_0.1,4.183711528778076,-0.2494354248046875,3.0091423988342285,0.013322591781616211,2.496812582015991
38,10,440294,GA_lambda_0.3,4.063713550567627,0.028906822204589844,2.9368600845336914,0.011659250594675541,2.4841339588165283
38,10,440294,Wave22_cycle4,4.371833324432373,0.6253890991210938,3.2271361351013184,0.02131175994873047,0.6481345295906067
38,10,440294,language_prototype,3.352250576019287,0.018711566925048828,1.6656208038330078,0.03896928206086159,2.840304136276245
38,10,440294,goal_core_retrieval,5.6693291664123535,-0.4446234703063965,3.820406436920166,0.045426901429891586,0.5378948450088501
102,21,293869,Wave21_B1,5.769077777862549,-1.2298212051391602,3.904869556427002,0.025928616523742676,3.299808979034424
102,21,293869,GA_lambda_0.03,5.708117961883545,-1.2275638580322266,3.8423404693603516,0.026223456487059593,3.225783348083496
102,21,293869,GA_lambda_0.1,5.5597100257873535,-1.2105212211608887,3.7188076972961426,0.02666403353214264,3.1314945220947266
102,21,293869,GA_lambda_0.3,5.27282190322876,-1.1512346267700195,3.5094547271728516,0.027599165216088295,2.960289716720581
102,21,293869,Wave22_cycle4,5.651307106018066,-2.4111781120300293,3.41009783744812,0.03126617148518562,0.21342357993125916
102,21,293869,language_prototype,3.352250576019287,0.018711566925048828,1.6656208038330078,0.07524126768112183,2.840304136276245
102,21,293869,goal_core_retrieval,2.8907344341278076,0.25157761573791504,2.0430636405944824,0.10650217533111572,0.4588371217250824
108,25,316363,Wave21_B1,5.354837894439697,-1.86301589012146,3.480894088745117,0.04087013378739357,2.85258412361145
108,25,316363,GA_lambda_0.03,5.309898376464844,-1.8405089378356934,3.4399733543395996,0.04082052409648895,2.7941131591796875
108,25,316363,GA_lambda_0.1,5.206752300262451,-1.751598596572876,3.332440137863159,0.039053939282894135,2.73972749710083
108,25,316363,GA_lambda_0.3,4.887485980987549,-1.4158935546875,3.041268825531006,0.035577207803726196,2.659104824066162
108,25,316363,Wave22_cycle4,5.1889543533325195,-2.7138423919677734,3.142373561859131,0.04105716571211815,0.11036801338195801
108,25,316363,language_prototype,3.352250576019287,0.018711566925048828,1.6656208038330078,0.04300517216324806,2.840304136276245
108,25,316363,goal_core_retrieval,4.394138813018799,-1.0951497554779053,2.8423190116882324,0.051651764661073685,0.4681832492351532
116,25,322213,Wave21_B1,4.8871846199035645,-0.905733585357666,2.845093250274658,0.07727216929197311,4.3715996742248535
116,25,322213,GA_lambda_0.03,4.894439220428467,-0.9676551818847656,2.857677936553955,0.07407364994287491,3.960871696472168
116,25,322213,GA_lambda_0.1,4.924411773681641,-1.0740389823913574,2.917937755584717,0.07086118310689926,3.3507344722747803
116,25,322213,GA_lambda_0.3,4.703413486480713,-0.8255853652954102,2.777031183242798,0.07120057195425034,4.313313961029053
116,25,322213,Wave22_cycle4,7.369313716888428,-3.7226455211639404,6.214721202850342,0.06578570604324341,0.36407962441444397
116,25,322213,language_prototype,3.352250576019287,0.018711566925048828,1.6656208038330078,0.07588087022304535,2.840304136276245
116,25,322213,goal_core_retrieval,2.7983486652374268,1.1712424755096436,1.9367767572402954,0.17657072842121124,0.4718220829963684
128,29,70241,Wave21_B1,5.587811470031738,-2.3492929935455322,3.7636711597442627,0.043309297412633896,3.0174636840820312
128,29,70241,GA_lambda_0.03,5.495809555053711,-2.2698001861572266,3.6972644329071045,0.04376855492591858,2.995119333267212
128,29,70241,GA_lambda_0.1,5.295032501220703,-2.058293104171753,3.5285263061523438,0.04451357200741768,3.021178722381592
128,29,70241,GA_lambda_0.3,4.994022369384766,-1.7565276622772217,3.243626356124878,0.04205524921417236,3.0878593921661377
128,29,70241,Wave22_cycle4,5.750506401062012,-2.8954386711120605,3.717211961746216,0.04768359661102295,0.2907276749610901
128,29,70241,language_prototype,3.352250576019287,0.018711566925048828,1.6656208038330078,0.06202974542975426,2.840304136276245
128,29,70241,goal_core_retrieval,3.4084537029266357,-0.4644763469696045,2.413646936416626,0.03568130359053612,0.47906485199928284
