sample,session,goal,cycle_residual,global_distance,goal_core_distance,goal_core_margin,execution_goal_core_distance,execution_goal_core_margin,endpoint_correct,decoded_reencoded_correct,decoded_action_mse,continuity,cycle4_residual,cycle4_global_distance,cycle4_goal_core_margin,cycle4_execution_goal_core_margin
0,3,turn_off_lightbulb,1.7507996559143066,2.5042853355407715,2.572646141052246,0.07435750961303711,2.162635087966919,-0.15626072883605957,1,0,0.010855530388653278,0.5870057344436646,0.14682570099830627,1.50746750831604,-1.0045254230499268,-0.7758752107620239
1,3,lift_red_block_table,1.769036889076233,2.941361427307129,3.2399487495422363,-0.0616302490234375,2.2889564037323,-0.3514977693557739,0,0,0.10792871564626694,0.33213603496551514,0.17160065472126007,2.0229668617248535,-1.170954704284668,-0.5819538831710815
2,3,lift_blue_block_slider,3.481867790222168,3.5105862617492676,4.022952079772949,-0.3529067039489746,2.854269504547119,-1.0591504573822021,0,0,0.047974493354558945,0.3558039665222168,0.29755067825317383,2.8971478939056396,-1.2827188968658447,-0.9041199684143066
3,3,push_pink_block_right,2.7711589336395264,2.989161729812622,3.150264263153076,0.4310493469238281,1.5399997234344482,0.695518970489502,1,1,0.043048590421676636,0.5937770009040833,0.0925014391541481,1.5181841850280762,1.328243613243103,1.2026904821395874
4,3,turn_on_lightbulb,2.8228626251220703,3.3381829261779785,3.4966464042663574,0.16767549514770508,2.30421781539917,0.14838790893554688,1,1,0.033242881298065186,0.47232091426849365,0.29409265518188477,2.637514591217041,-0.02143406867980957,0.12762880325317383
5,3,lift_red_block_table,2.9435007572174072,3.7755115032196045,4.05023717880249,0.13812017440795898,2.7975986003875732,0.04306483268737793,1,1,0.0526588074862957,0.882056474685669,0.37212178111076355,3.613737106323242,0.15465736389160156,0.03885984420776367
6,3,turn_on_lightbulb,3.0481185913085938,3.7113425731658936,4.290346145629883,-0.44320058822631836,2.977325916290283,-1.007832407951355,0,0,0.05164249613881111,0.4809530973434448,0.25548532605171204,2.9211080074310303,-1.4905035495758057,-1.109574794769287
7,3,lift_red_block_table,3.738821506500244,4.101282596588135,4.577392578125,-0.2612428665161133,2.3749990463256836,-0.4978668689727783,0,0,0.08185280114412308,0.2722253203392029,0.1710287183523178,2.2035274505615234,-1.0095183849334717,-0.7646241188049316
8,3,place_in_slider,2.4549100399017334,3.421595811843872,5.510201454162598,-1.627835750579834,3.8364155292510986,-1.4601166248321533,0,0,0.04279206320643425,0.49206990003585815,0.1708732396364212,2.4848952293395996,-2.6013736724853516,-1.5130890607833862
9,3,turn_on_lightbulb,3.0772039890289307,3.38067364692688,3.844550609588623,-0.34441208839416504,2.8877205848693848,-0.9781584739685059,0,0,0.02727498859167099,0.7644319534301758,0.15519246459007263,1.9109197854995728,-1.0280951261520386,-1.2154487371444702
10,3,lift_red_block_table,2.6193058490753174,3.43859601020813,3.7915198802948,-0.09210205078125,2.935288906097412,-1.0900400876998901,0,0,0.07429643720388412,0.6534271836280823,0.17921540141105652,2.0955843925476074,-1.5942277908325195,-1.2931474447250366
11,3,place_in_slider,2.589548349380493,3.6638712882995605,6.0944905281066895,-2.3383398056030273,4.141365051269531,-1.766474723815918,0,0,0.0647784024477005,0.7732399106025696,0.4141281247138977,2.985339641571045,-3.131479263305664,-1.8573403358459473
12,3,turn_on_lightbulb,3.3310554027557373,3.494434356689453,4.565616130828857,-1.0490615367889404,2.0168585777282715,0.08771491050720215,0,1,0.019019605591893196,0.5854655504226685,0.4030776917934418,3.55610728263855,0.6113190650939941,0.10848426818847656
13,3,turn_off_lightbulb,2.966365098953247,3.4499130249023438,3.6301352977752686,0.06181907653808594,2.881105422973633,-0.8185737133026123,1,1,0.03398554027080536,0.903945803642273,0.33582842350006104,3.0888779163360596,0.1396491527557373,-0.1595919132232666
14,3,lift_blue_block_slider,2.2890403270721436,2.9486565589904785,3.121936798095703,0.08429217338562012,2.255406141281128,-0.7319937944412231,1,0,0.03554746136069298,0.559190571308136,0.25612932443618774,2.464299440383911,-1.2160775661468506,-0.30750739574432373
15,3,lift_red_block_table,3.1382453441619873,3.637901782989502,3.833057403564453,0.5163211822509766,3.182136058807373,-0.5163142681121826,1,0,0.0659269168972969,0.4271359443664551,0.40143415331840515,3.4074013233184814,-0.6184492111206055,-0.4453134536743164
16,3,turn_off_lightbulb,2.67563533782959,3.2379748821258545,3.7632720470428467,-0.513479471206665,2.9063527584075928,-0.8250305652618408,0,0,0.03566117212176323,0.8119363188743591,0.4213169813156128,2.5397419929504395,-0.9853701591491699,-0.899390459060669
17,3,turn_on_lightbulb,3.0391476154327393,2.9881739616394043,3.00765323638916,0.17787742614746094,2.306312084197998,-0.17244672775268555,1,0,0.00785194430500269,0.20396597683429718,0.07363598793745041,1.7972602844238281,-0.18448853492736816,-0.007949113845825195
18,3,lift_red_block_table,3.8216638565063477,3.6448168754577637,4.582212448120117,-0.8438534736633301,2.3608367443084717,-0.3759419918060303,0,0,0.04738040268421173,0.5557810068130493,0.18383774161338806,2.3509631156921387,-0.7268850803375244,-0.6290903091430664
19,3,turn_off_lightbulb,1.7816975116729736,3.0509791374206543,3.124302625656128,1.822633981704712,2.094417095184326,0.8513052463531494,1,1,0.0387546569108963,0.7175790071487427,0.2543793022632599,2.891608715057373,1.920443058013916,1.418126106262207
20,3,place_in_slider,3.415708303451538,4.00338888168335,5.872431755065918,-1.7189812660217285,3.769374370574951,-0.9903883934020996,0,0,0.1493568867444992,0.6731877326965332,0.3305893838405609,3.0190322399139404,-3.120954990386963,-1.5377849340438843
21,3,turn_on_lightbulb,4.879270553588867,3.698535919189453,3.9846737384796143,0.011823892593383789,3.0578548908233643,-0.2768747806549072,1,0,0.047301843762397766,0.626795768737793,0.27446311712265015,3.3825619220733643,-0.1847372055053711,-0.21938014030456543
22,3,turn_off_lightbulb,2.2790660858154297,3.141892910003662,3.2756972312927246,0.06962370872497559,2.7716634273529053,-0.31255269050598145,1,1,0.048556238412857056,0.410769522190094,0.35274219512939453,3.1035683155059814,0.7802667617797852,0.3715381622314453
23,3,turn_on_lightbulb,3.0896544456481934,3.8232979774475098,4.6262593269348145,-0.5250015258789062,2.9723939895629883,-1.1280567646026611,0,0,0.04950695112347603,0.5767542123794556,0.2893420159816742,2.933903932571411,-1.535874843597412,-1.1441197395324707
24,3,turn_off_lightbulb,2.8596372604370117,3.31103777885437,3.314488172531128,0.3781764507293701,2.9322142601013184,0.06219983100891113,1,1,0.011541453190147877,0.5867836475372314,0.2712225914001465,2.970247507095337,0.8480017185211182,0.5283684730529785
25,3,lift_blue_block_slider,3.334333658218384,3.535687208175659,3.7465927600860596,-0.011254072189331055,3.198965549468994,-0.6318087577819824,0,1,0.059885766357183456,1.1159855127334595,0.20139946043491364,2.691711664199829,0.9136366844177246,0.8007693290710449
26,3,turn_on_lightbulb,1.739403486251831,2.6666274070739746,3.069735050201416,-0.34163999557495117,2.435927391052246,-0.7168680429458618,0,0,0.030311981216073036,0.23672202229499817,0.15827438235282898,1.8675044775009155,-0.6890852451324463,-0.6963765621185303
27,3,place_in_slider,3.101155996322632,3.4564671516418457,5.837920188903809,-2.3116140365600586,3.9274330139160156,-1.1877624988555908,0,0,0.017883671447634697,1.1598279476165771,0.2504245340824127,2.6371114253997803,-3.6035640239715576,-2.3223323822021484
28,3,turn_off_lightbulb,2.3338875770568848,3.6271884441375732,3.8202877044677734,0.8413267135620117,2.3271169662475586,0.46111631393432617,1,1,0.0425681471824646,0.7293640375137329,0.5215247273445129,3.592210292816162,0.7705283164978027,0.8533778190612793
29,3,turn_on_lightbulb,2.3517582416534424,2.6327643394470215,2.635526180267334,0.8509042263031006,1.5779874324798584,0.5908792018890381,1,1,0.004804601427167654,0.5857405066490173,0.11828025430440903,1.558871865272522,0.9340108633041382,1.0552988052368164
30,3,place_in_slider,2.308797836303711,3.4432849884033203,4.433341026306152,-0.5731215476989746,3.0573415756225586,-0.6225018501281738,0,0,0.053991109132766724,0.8126797676086426,0.5123268961906433,3.332576274871826,1.4305267333984375,0.21695303916931152
31,3,turn_off_lightbulb,2.250401258468628,3.707867383956909,4.2834882736206055,-0.5064699649810791,3.174497127532959,-0.36153745651245117,0,0,0.07065366208553314,0.887551486492157,0.47610825300216675,4.093156814575195,-0.2604365348815918,-0.14478492736816406
32,3,place_in_slider,3.1746010780334473,3.6354289054870605,4.889814853668213,-0.9695935249328613,3.3832764625549316,-0.8955078125,0,0,0.07319733500480652,0.7623326778411865,0.25948041677474976,2.7411742210388184,-2.72227144241333,-1.5194811820983887
33,3,push_pink_block_right,3.0891599655151367,4.279813766479492,5.21306037902832,-0.5724058151245117,2.4432895183563232,0.5255296230316162,0,0,0.06202840805053711,1.376141905784607,0.27707719802856445,2.903669834136963,-1.097555160522461,-0.03557896614074707
34,3,place_in_slider,3.5339548587799072,3.6944241523742676,4.9428324699401855,-0.9517707824707031,3.4145469665527344,-1.1566283702850342,0,0,0.044035404920578,0.45928531885147095,0.15475504100322723,2.531449556350708,-2.643564462661743,-1.3749828338623047
35,10,place_in_slider,2.967172384262085,3.5296313762664795,5.761731147766113,-1.9345941543579102,4.1331353187561035,-1.8997135162353516,0,0,0.07417710870504379,0.6722148060798645,0.18307285010814667,2.4178624153137207,-2.789170742034912,-1.475273609161377
36,10,turn_off_lightbulb,1.8081361055374146,2.3481831550598145,2.374498128890991,0.24356484413146973,2.0398850440979004,-0.0663832426071167,1,0,0.023860013112425804,0.42256230115890503,0.291491836309433,2.179673433303833,-0.4921267032623291,-0.176008939743042
37,10,lift_blue_block_slider,3.0106565952301025,3.1386821269989014,3.172332525253296,0.768233060836792,2.377000331878662,-0.7189137935638428,1,0,0.014708355069160461,0.9070436954498291,0.26038628816604614,2.7441399097442627,-0.5222408771514893,-0.31674671173095703
38,10,place_in_slider,2.516529083251953,3.4507107734680176,4.105045318603516,-0.07165050506591797,3.003546714782715,-0.7010018825531006,0,0,0.012856964953243732,0.41779348254203796,0.6481350660324097,3.9097728729248047,0.6253890991210938,-0.4360342025756836
39,10,lift_red_block_table,1.5103507041931152,3.8122220039367676,4.262315273284912,-0.33172178268432617,3.0222837924957275,-0.7313582897186279,0,0,0.07473475486040115,1.2747290134429932,0.367249459028244,3.2459473609924316,-0.3066070079803467,-0.6554255485534668
40,10,push_pink_block_right,2.5710623264312744,2.794928789138794,2.815478801727295,0.608027458190918,1.871567964553833,0.5054218769073486,1,1,0.02064083144068718,0.8100613951683044,0.1241614818572998,1.2178199291229248,1.5929126739501953,1.2322226762771606
41,10,lift_red_block_table,3.0774762630462646,3.4258339405059814,3.7471206188201904,-0.01572561264038086,2.500253200531006,-0.6849772930145264,0,0,0.05367932841181755,0.719126284122467,0.16119050979614258,1.9377902746200562,-1.5030159950256348,-0.8301353454589844
42,10,place_in_slider,2.6145713329315186,3.3348560333251953,5.285935401916504,-1.4425835609436035,3.7630858421325684,-1.5097274780273438,0,0,0.037368159741163254,0.3664783537387848,0.1728297621011734,2.5252788066864014,-2.602891445159912,-1.5747228860855103
43,10,turn_off_lightbulb,1.1070185899734497,2.2828431129455566,2.2872040271759033,0.6505300998687744,1.48353910446167,0.4644649028778076,1,1,0.015996823087334633,0.3046848475933075,0.3084222674369812,2.251507043838501,0.7317712306976318,0.5160095691680908
44,10,push_pink_block_right,2.6655805110931396,3.0739097595214844,3.1828126907348633,0.3372378349304199,1.1298238039016724,1.174688696861267,1,1,0.004387710243463516,0.3815460801124573,0.5510671138763428,2.5678420066833496,0.7990732192993164,0.8772479295730591
45,10,turn_off_lightbulb,1.612364411354065,3.367121934890747,3.9022247791290283,0.7920587062835693,2.530956268310547,0.6585659980773926,1,1,0.0398547388613224,0.491943895816803,0.4735029935836792,3.2910609245300293,0.8497352600097656,0.9222519397735596
46,10,turn_on_lightbulb,2.9323770999908447,3.809457778930664,4.075843811035156,-0.14342951774597168,3.02671480178833,-0.1319890022277832,0,0,0.012403351254761219,0.7327338457107544,0.4218677282333374,3.1393883228302,-0.24799513816833496,-0.024997949600219727
47,10,lift_red_block_table,2.322340965270996,3.042843818664551,3.2430756092071533,0.1555037498474121,2.273235321044922,-0.1269218921661377,1,0,0.058150067925453186,0.2222309559583664,0.16971030831336975,2.108015298843384,-0.9585235118865967,-0.5251138210296631
48,10,turn_off_lightbulb,2.5415971279144287,2.9686994552612305,4.358819007873535,-1.3901195526123047,3.78696870803833,-1.3687553405761719,0,0,0.07584886997938156,1.212563157081604,0.23277024924755096,2.796733856201172,-1.2250795364379883,-1.1818318367004395
49,10,turn_on_lightbulb,3.037900686264038,2.8584859371185303,2.9416089057922363,-0.024184703826904297,2.471797466278076,-0.3007841110229492,0,0,0.01762636937201023,0.5302370190620422,0.18472576141357422,2.364565372467041,-0.08145284652709961,-0.03844773769378662
50,10,push_pink_block_right,2.7028865814208984,3.563204526901245,3.950629472732544,-0.08450508117675781,1.8379907608032227,0.8137326240539551,0,0,0.005668044090270996,0.6202699542045593,0.29578322172164917,3.573483943939209,-0.9653863906860352,0.03971147537231445
51,10,turn_on_lightbulb,1.903336524963379,2.3561465740203857,2.3561465740203857,0.7747149467468262,1.7509597539901733,0.4613567590713501,1,1,0.005216255784034729,0.5122472643852234,0.14096678793430328,1.847553014755249,0.5640188455581665,0.622718095779419
52,10,lift_blue_block_slider,3.86936616897583,3.530646800994873,3.725090503692627,-0.051673173904418945,3.307898759841919,-0.7400014400482178,0,1,0.01830095425248146,0.3239316940307617,0.18296626210212708,2.872427463531494,-0.07660079002380371,-0.1283583641052246
53,10,turn_off_lightbulb,2.513843059539795,3.4526753425598145,4.241366386413574,-0.7767443656921387,3.3917388916015625,-1.061337947845459,0,0,0.08104962110519409,0.4517287015914917,0.21489141881465912,2.1269633769989014,-1.718141794204712,-1.869075059890747
